graph_id,src,dst
format_O2,main,printf
format_O0,main,vuln
buffer_overflow_O0,main,vuln
int_overflow_O2,main,malloc
int_overflow_O2,main,fgets
buffer_overflow_O3,main,llvm
buffer_overflow_O3,main,fgets
buffer_overflow_O3,main,llvm
uaf_O2,main,malloc
uaf_O2,main,free
uaf_O2,main,puts
format_O3,main,printf
format_O1,main,printf
int_overflow_O3,main,malloc
int_overflow_O3,main,fgets
buffer_overflow_O1,main,llvm
buffer_overflow_O1,main,fgets
buffer_overflow_O1,main,llvm
buffer_overflow_O2,main,llvm
buffer_overflow_O2,main,fgets
buffer_overflow_O2,main,llvm
int_overflow_O1,main,malloc
int_overflow_O1,main,fgets
uaf_O1,main,malloc
uaf_O1,main,free
uaf_O1,main,puts
uaf_O3,main,malloc
uaf_O3,main,free
uaf_O3,main,puts
uaf_O0,main,vuln
int_overflow_O0,main,vuln
safe_input_O1,main,llvm
safe_input_O1,main,fgets
safe_input_O1,main,llvm
safe_input_O0,main,safe
safe_bufferoverflow_O0,main,safe
safe_format_O3,main,printf
safe_format_O1,main,printf
safe_int_O0,main,safe
safe_input_O3,main,llvm
safe_input_O3,main,fgets
safe_input_O3,main,llvm
safe_format_O0,main,safe
safe_input_O2,main,llvm
safe_input_O2,main,fgets
safe_input_O2,main,llvm
safe_format_O2,main,printf
safe_malloc_O3,main,str
safe_bufferoverflow_O3,main,llvm
safe_bufferoverflow_O3,main,fgets
safe_bufferoverflow_O3,main,llvm
safe_malloc_O0,main,safe
safe_malloc_O2,main,str
safe_bufferoverflow_O2,main,llvm
safe_bufferoverflow_O2,main,fgets
safe_bufferoverflow_O2,main,llvm
safe_bufferoverflow_O1,main,llvm
safe_bufferoverflow_O1,main,fgets
safe_bufferoverflow_O1,main,llvm
safe_malloc_O1,main,str
