graph_id,node_id,num_blocks,num_calls,alloca,load,store,br,icmp,dangerous_calls,label
format_O2,main,2,1,0,0,0,2,0,0,1
format_O0,main,2,1,0,0,3,2,0,0,1
buffer_overflow_O0,main,0,1,0,0,1,0,0,0,1
int_overflow_O2,main,0,2,0,0,0,0,0,0,1
buffer_overflow_O3,main,0,3,0,0,0,0,0,0,1
uaf_O2,main,0,3,0,0,0,0,0,0,1
format_O3,main,2,1,0,0,0,2,0,0,1
format_O1,main,2,1,0,0,0,2,0,0,1
int_overflow_O3,main,0,2,0,0,0,0,0,0,1
buffer_overflow_O1,main,0,3,0,0,0,0,0,0,1
buffer_overflow_O2,main,0,3,0,0,0,0,0,0,1
int_overflow_O1,main,0,2,0,0,0,0,0,0,1
uaf_O1,main,0,3,0,0,0,0,0,0,1
uaf_O3,main,0,3,0,0,0,0,0,0,1
uaf_O0,main,0,1,0,0,1,0,0,0,1
int_overflow_O0,main,0,1,0,0,1,0,0,0,1
safe_input_O1,main,0,3,0,0,0,0,0,0,0
safe_int_O1,main,0,0,0,0,0,0,0,0,0
safe_input_O0,main,0,1,0,0,1,0,0,0,0
safe_bufferoverflow_O0,main,0,1,0,0,1,0,0,0,0
safe_format_O3,main,2,1,0,0,0,2,0,0,0
safe_format_O1,main,2,1,0,0,0,2,0,0,0
safe_int_O0,main,0,1,0,0,1,0,0,0,0
safe_input_O3,main,0,3,0,0,0,0,0,0,0
safe_format_O0,main,2,1,0,0,3,2,0,0,0
safe_input_O2,main,0,3,0,0,0,0,0,0,0
safe_format_O2,main,2,1,0,0,0,2,0,0,0
safe_malloc_O3,main,0,1,0,0,0,0,0,0,0
safe_int_O3,main,0,0,0,0,0,0,0,0,0
safe_bufferoverflow_O3,main,0,3,0,0,0,0,0,0,0
safe_malloc_O0,main,0,1,0,0,1,0,0,0,0
safe_malloc_O2,main,0,1,0,0,0,0,0,0,0
safe_int_O2,main,0,0,0,0,0,0,0,0,0
safe_bufferoverflow_O2,main,0,3,0,0,0,0,0,0,0
safe_bufferoverflow_O1,main,0,3,0,0,0,0,0,0,0
safe_malloc_O1,main,0,1,0,0,0,0,0,0,0
