binary,function,size,basic_blocks,unsafe_call,label
into,_init,27,3,0,0
into,sub_401020,12,1,0,0
into,sub_40102c,4,1,0,0
into,sub_401030,14,1,0,0
into,sub_40103e,2,1,0,0
into,sub_401040,14,1,0,0
into,sub_40104e,2,1,0,0
into,gets,10,1,0,0
into,malloc,10,1,0,0
into,_start,37,1,0,0
into,sub_401095,1,1,0,0
into,sub_401096,10,1,0,0
into,_dl_relocate_static_pie,5,1,0,0
into,sub_4010a5,11,1,0,0
into,deregister_tm_clones,33,5,0,0
into,sub_4010d1,15,1,0,0
into,register_tm_clones,49,4,0,0
into,sub_401111,15,1,0,0
into,__do_global_dtors_aux,32,4,0,0
into,sub_40113f,1,1,0,0
into,sub_401141,15,1,0,0
into,frame_dummy,6,1,0,0
into,vuln,65,3,0,0
into,main,30,2,0,0
into,_fini,13,1,0,0
into,__libc_start_main,0,1,0,0
into,gets,0,1,0,0
into,malloc,0,1,0,0
into,UnresolvableJumpTarget,0,1,0,0
into,UnresolvableCallTarget,0,1,0,0
buffero,_init,27,3,0,0
buffero,sub_401020,12,1,0,0
buffero,sub_40102c,4,1,0,0
buffero,sub_401030,14,1,0,0
buffero,sub_40103e,2,1,0,0
buffero,gets,10,1,0,0
buffero,_start,37,1,0,0
buffero,sub_401075,1,1,0,0
buffero,sub_401076,10,1,0,0
buffero,_dl_relocate_static_pie,5,1,0,0
buffero,sub_401085,11,1,0,0
buffero,deregister_tm_clones,33,5,0,0
buffero,sub_4010b1,15,1,0,0
buffero,register_tm_clones,49,4,0,0
buffero,sub_4010f1,15,1,0,0
buffero,__do_global_dtors_aux,32,4,0,0
buffero,sub_40111f,1,1,0,0
buffero,sub_401121,15,1,0,0
buffero,frame_dummy,6,1,0,0
buffero,vuln,32,2,0,0
buffero,main,25,2,0,0
buffero,_fini,13,1,0,0
buffero,__libc_start_main,0,1,0,0
buffero,gets,0,1,0,0
buffero,UnresolvableJumpTarget,0,1,0,0
buffero,UnresolvableCallTarget,0,1,0,0
format,_init,27,3,0,0
format,sub_401020,12,1,0,0
format,sub_40102c,4,1,0,0
format,sub_401030,14,1,0,0
format,sub_40103e,2,1,0,0
format,printf,10,1,0,0
format,_start,37,1,0,0
format,sub_401075,1,1,0,0
format,sub_401076,10,1,0,0
format,_dl_relocate_static_pie,5,1,0,0
format,sub_401085,11,1,0,0
format,deregister_tm_clones,33,5,0,0
format,sub_4010b1,15,1,0,0
format,register_tm_clones,49,4,0,0
format,sub_4010f1,15,1,0,0
format,__do_global_dtors_aux,32,4,0,0
format,sub_40111f,1,1,0,0
format,sub_401121,15,1,0,0
format,frame_dummy,6,1,0,0
format,vuln,36,2,0,1
format,main,51,3,0,0
format,_fini,13,1,0,0
format,__libc_start_main,0,1,0,0
format,printf,0,1,0,0
format,UnresolvableJumpTarget,0,1,0,0
format,UnresolvableCallTarget,0,1,0,0
uaf,_init,27,3,0,0
uaf,sub_401020,12,1,0,0
uaf,sub_40102c,4,1,0,0
uaf,sub_401030,14,1,0,0
uaf,sub_40103e,2,1,0,0
uaf,sub_401040,14,1,0,0
uaf,sub_40104e,2,1,0,0
uaf,sub_401050,14,1,0,0
uaf,sub_40105e,2,1,0,0
uaf,free,10,1,0,0
uaf,puts,10,1,0,0
uaf,malloc,10,1,0,0
uaf,_start,37,1,0,0
uaf,sub_4010b5,1,1,0,0
uaf,sub_4010b6,10,1,0,0
uaf,_dl_relocate_static_pie,5,1,0,0
uaf,sub_4010c5,11,1,0,0
uaf,deregister_tm_clones,33,5,0,0
uaf,sub_4010f1,15,1,0,0
uaf,register_tm_clones,49,4,0,0
uaf,sub_401131,15,1,0,0
uaf,__do_global_dtors_aux,32,4,0,0
uaf,sub_40115f,1,1,0,0
uaf,sub_401161,15,1,0,0
uaf,frame_dummy,6,1,0,0
uaf,vuln,53,4,0,1
uaf,main,25,2,0,0
uaf,_fini,13,1,0,0
uaf,__libc_start_main,0,1,0,0
uaf,free,0,1,0,0
uaf,puts,0,1,0,0
uaf,malloc,0,1,0,0
uaf,UnresolvableJumpTarget,0,1,0,0
uaf,UnresolvableCallTarget,0,1,0,0
safei,_init,27,3,0,0
safei,sub_401020,12,1,0,0
safei,sub_40102c,4,1,0,0
safei,sub_401030,14,1,0,0
safei,sub_40103e,2,1,0,0
safei,sub_401040,14,1,0,0
safei,sub_40104e,2,1,0,0
safei,__cxa_finalize,10,1,0,0
safei,__stack_chk_fail,10,1,0,0
safei,fgets,10,1,0,0
safei,_start,37,1,0,0
safei,sub_4010a5,1,1,0,0
safei,sub_4010a6,10,1,0,0
